P,S,T,
M,a,x, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,e,a,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,i,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
8,7,V,A,
1949-2-7,45,40,34,
1949-2-8,58,46,34,
1949-2-9,56,48,41,
1949-2-10,68,52,35,
1949-2-11,40,34,28,
1949-2-12,42,34,25,
1949-2-13,56,43,30,
1949-2-14,74,63,52,
1949-2-15,72,62,53,
1949-2-16,76,60,43,
1949-2-17,47,40,34,
1949-2-18,51,41,31,
1949-2-19,55,48,40,
1949-2-20,55,50,46,
1949-2-21,67,54,41,
1949-2-22,44,40,36,
1949-2-23,48,43,38,
1949-2-24,56,45,34,
1949-2-25,58,50,42,
1949-2-26,62,47,32,
1949-2-27,51,40,30,
1949-2-28,45,38,30,
1949-3-1,-99999,-99999,-99999,
1949-3-2,-99999,-99999,-99999,
1949-3-3,-99999,-99999,-99999,
1949-3-4,-99999,-99999,-99999,
1949-3-5,57,48,38,
1949-3-6,67,56,45,
1949-3-7,70,47,24,
1949-3-8,40,33,26,
1949-3-9,57,46,34,
1949-3-10,53,44,36,
1949-3-11,42,38,34,
1949-3-12,49,38,28,
1949-3-13,43,35,27,
1949-3-14,54,42,31,
1949-3-15,57,46,35,
1949-3-16,43,32,20,
1949-3-17,47,38,29,
1949-3-18,54,44,34,
1949-3-19,42,34,25,
1949-3-20,46,35,24,
1949-3-21,50,40,31,
1949-3-22,67,56,45,
1949-3-23,66,60,53,
1949-3-24,73,58,42,
1949-3-25,70,58,47,
1949-3-26,58,53,48,
1949-3-27,72,65,58,
1949-3-28,84,71,58,
1949-3-29,67,56,46,
1949-3-30,77,63,49,
1949-3-31,82,69,56,
1949-4-1,63,52,42,
1949-4-2,59,48,36,
1949-4-3,58,50,43,
1949-4-4,65,52,40,
1949-4-5,61,52,42,
1949-4-6,51,45,39,
1949-4-7,61,52,43,
1949-4-8,63,54,44,
1949-4-9,61,50,39,
1949-4-10,63,51,39,
1949-4-11,67,56,45,
1949-4-12,61,55,49,
1949-4-13,62,58,53,
1949-4-14,69,60,51,
1949-4-15,76,64,52,
1949-4-16,78,59,40,
1949-4-17,53,42,32,
1949-4-18,61,50,40,
1949-4-19,60,51,42,
1949-4-20,60,49,38,
1949-4-21,69,58,46,
1949-4-22,81,66,51,
1949-4-23,74,64,53,
1949-4-24,80,62,45,
1949-4-25,64,52,40,
1949-4-26,70,58,45,
1949-4-27,89,75,61,
1949-4-28,69,62,54,
1949-4-29,68,55,42,
1949-4-30,68,57,46,
1949-5-1,62,57,52,
1949-5-2,74,68,61,
1949-5-3,82,70,57,
1949-5-4,85,72,59,
1949-5-5,88,74,60,
1949-5-6,90,78,65,
1949-5-7,89,78,67,
1949-5-8,92,72,53,
1949-5-9,71,64,56,
1949-5-10,77,67,57,
1949-5-11,66,54,42,
1949-5-12,57,49,41,
1949-5-13,71,62,53,
1949-5-14,75,64,52,
1949-5-15,84,73,62,
1949-5-16,84,70,56,
1949-5-17,71,65,59,
1949-5-18,79,70,60,
1949-5-19,86,76,65,
1949-5-20,89,78,67,
1949-5-21,79,66,52,
1949-5-22,61,57,53,
1949-5-23,77,66,55,
1949-5-24,79,69,59,
1949-5-25,83,68,52,
1949-5-26,72,60,48,
1949-5-27,70,56,43,
1949-5-28,67,56,45,
1949-5-29,70,58,45,
1949-5-30,72,60,47,
1949-5-31,75,64,53,
1949-6-1,81,69,57,
1949-6-2,82,68,53,
1949-6-3,79,65,51,
1949-6-4,79,67,55,
1949-6-5,82,72,62,
1949-6-6,89,78,67,
1949-6-7,91,79,67,
1949-6-8,90,71,52,
1949-6-9,77,64,50,
1949-6-10,79,67,55,
1949-6-11,81,70,58,
1949-6-12,88,78,68,
1949-6-13,90,78,65,
1949-6-14,82,74,67,
1949-6-15,86,74,62,
1949-6-16,85,76,66,
1949-6-17,78,72,67,
1949-6-18,76,72,69,
1949-6-19,83,76,69,
1949-6-20,81,75,69,
1949-6-21,89,81,73,
1949-6-22,92,82,71,
1949-6-23,90,77,64,
1949-6-24,85,76,66,
1949-6-25,91,80,70,
1949-6-26,91,80,70,
1949-6-27,93,85,77,
1949-6-28,91,80,68,
1949-6-29,89,77,65,
1949-6-30,69,67,65,
1949-7-1,78,71,64,
1949-7-2,81,74,67,
1949-7-3,84,76,69,
1949-7-4,89,80,70,
1949-7-5,90,81,72,
1949-7-6,95,84,72,
1949-7-7,96,84,71,
1949-7-8,89,76,62,
1949-7-9,72,66,61,
1949-7-10,81,74,66,
1949-7-11,86,78,70,
1949-7-12,81,76,71,
1949-7-13,85,78,70,
1949-7-14,78,74,69,
1949-7-15,88,78,67,
1949-7-16,86,74,63,
1949-7-17,84,77,70,
1949-7-18,84,76,68,
1949-7-19,85,78,70,
1949-7-20,86,78,69,
1949-7-21,89,80,71,
1949-7-22,90,80,69,
1949-7-23,92,84,75,
1949-7-24,93,84,74,
1949-7-25,89,81,73,
1949-7-26,94,84,75,
1949-7-27,93,84,75,
1949-7-28,95,84,74,
1949-7-29,95,84,74,
1949-7-30,95,85,75,
1949-7-31,95,82,69,
1949-8-1,81,72,63,
1949-8-2,85,74,63,
1949-8-3,89,80,70,
1949-8-4,90,80,71,
1949-8-5,87,78,68,
1949-8-6,89,78,68,
1949-8-7,89,78,68,
1949-8-8,89,78,67,
1949-8-9,92,82,71,
1949-8-10,96,85,74,
1949-8-11,96,86,76,
1949-8-12,98,86,73,
1949-8-13,99,84,68,
1949-8-14,93,82,70,
1949-8-15,79,74,68,
1949-8-16,71,69,67,
1949-8-17,74,70,65,
1949-8-18,71,68,66,
1949-8-19,85,75,65,
1949-8-20,83,70,58,
1949-8-21,70,62,54,
1949-8-22,76,68,59,
1949-8-23,65,62,59,
1949-8-24,81,72,64,
1949-8-25,85,75,65,
1949-8-26,84,75,66,
1949-8-27,87,78,69,
1949-8-28,90,79,68,
1949-8-29,84,74,65,
1949-8-30,84,74,64,
1949-8-31,84,74,63,
1949-9-1,77,70,62,
1949-9-2,80,66,51,
1949-9-3,76,68,59,
1949-9-4,77,70,62,
1949-9-5,83,74,65,
1949-9-6,87,78,70,
1949-9-7,87,72,58,
1949-9-8,63,60,56,
1949-9-9,81,66,50,
1949-9-10,70,60,49,
1949-9-11,72,60,49,
1949-9-12,76,66,57,
1949-9-13,75,68,62,
1949-9-14,78,72,65,
1949-9-15,82,68,54,
1949-9-16,84,72,59,
1949-9-17,71,64,58,
1949-9-18,80,71,62,
1949-9-19,85,75,65,
1949-9-20,84,70,56,
1949-9-21,73,62,50,
1949-9-22,74,64,54,
1949-9-23,82,68,53,
1949-9-24,67,56,45,
1949-9-25,68,54,41,
1949-9-26,69,57,45,
1949-9-27,72,63,54,
1949-9-28,78,66,55,
1949-9-29,80,67,54,
1949-9-30,64,55,46,
1949-10-1,68,58,49,
1949-10-2,74,62,49,
1949-10-3,75,64,52,
1949-10-4,70,62,55,
1949-10-5,78,68,58,
1949-10-6,78,69,60,
1949-10-7,75,68,62,
1949-10-8,72,68,63,
1949-10-9,82,72,62,
1949-10-10,85,74,63,
1949-10-11,85,74,63,
1949-10-12,84,72,59,
1949-10-13,83,70,57,
1949-10-14,60,55,50,
1949-10-15,61,58,55,
1949-10-16,74,64,55,
1949-10-17,62,56,50,
1949-10-18,61,56,51,
1949-10-19,68,60,51,
1949-10-20,71,60,49,
1949-10-21,74,64,54,
1949-10-22,83,70,57,
1949-10-23,84,68,51,
1949-10-24,74,64,53,
1949-10-25,69,58,46,
1949-10-26,58,51,44,
1949-10-27,70,54,39,
1949-10-28,61,51,41,
1949-10-29,54,49,44,
1949-10-30,58,56,54,
1949-10-31,60,58,56,
1949-11-1,73,58,43,
1949-11-2,45,40,34,
1949-11-3,61,50,38,
1949-11-4,53,45,37,
1949-11-5,53,46,38,
1949-11-6,47,39,31,
1949-11-7,54,44,33,
1949-11-8,67,57,47,
1949-11-9,74,64,53,
1949-11-10,76,63,50,
1949-11-11,77,64,51,
1949-11-12,77,66,56,
1949-11-13,76,64,53,
1949-11-14,68,60,51,
1949-11-15,67,50,34,
1949-11-16,65,53,41,
1949-11-17,57,46,35,
1949-11-18,50,40,31,
1949-11-19,48,40,32,
1949-11-20,47,42,37,
1949-11-21,71,58,45,
1949-11-22,53,40,26,
1949-11-23,39,32,24,
1949-11-24,59,46,34,
1949-11-25,59,50,41,
1949-11-26,50,40,29,
1949-11-27,45,38,30,
1949-11-28,57,43,29,
1949-11-29,49,42,36,
1949-11-30,69,56,42,
1949-12-1,58,46,35,
1949-12-2,52,43,34,
1949-12-3,49,36,24,
1949-12-4,46,34,23,
1949-12-5,47,38,29,
1949-12-6,48,38,29,
1949-12-7,53,44,35,
1949-12-8,60,48,36,
1949-12-9,44,34,24,
1949-12-10,39,30,22,
1949-12-11,33,30,26,
1949-12-12,45,39,33,
1949-12-13,59,52,44,
1949-12-14,59,46,32,
1949-12-15,40,34,27,
1949-12-16,38,28,18,
1949-12-17,35,27,19,
1949-12-18,45,36,26,
1949-12-19,49,44,39,
1949-12-20,61,52,44,
1949-12-21,52,46,41,
1949-12-22,59,52,45,
1949-12-23,64,57,50,
1949-12-24,51,37,23,
1949-12-25,45,34,23,
1949-12-26,42,34,27,
1949-12-27,56,48,41,
1949-12-28,53,42,30,
1949-12-29,53,46,40,
1949-12-30,60,44,27,
1949-12-31,42,32,23,
1950-1-1,45,36,27,
1950-1-2,52,44,35,
1950-1-3,67,56,46,
1950-1-4,57,55,53,
1950-1-5,69,62,54,
1950-1-6,71,63,55,
1950-1-7,73,56,40,
1950-1-8,45,35,25,
1950-1-9,44,35,26,
1950-1-10,57,44,32,
1950-1-11,69,57,45,
1950-1-12,57,44,30,
1950-1-13,36,33,30,
1950-1-14,59,47,35,
1950-1-15,61,48,35,
1950-1-16,56,46,37,
1950-1-17,56,43,30,
1950-1-18,42,38,33,
1950-1-19,66,48,29,
1950-1-20,30,24,18,
1950-1-21,36,28,20,
1950-1-22,47,37,27,
1950-1-23,57,46,36,
1950-1-24,67,58,50,
1950-1-25,75,64,53,
1950-1-26,74,64,55,
1950-1-27,79,58,38,
1950-1-28,43,34,25,
1950-1-29,36,32,27,
1950-1-30,52,44,36,
1950-1-31,52,42,31,
1950-2-1,54,44,33,
1950-2-2,40,37,34,
1950-2-3,62,46,31,
1950-2-4,45,36,28,
1950-2-5,50,40,29,
1950-2-6,47,38,30,
1950-2-7,51,42,33,
1950-2-8,47,36,25,
1950-2-9,45,36,26,
1950-2-10,51,44,36,
1950-2-11,38,36,35,
1950-2-12,45,40,35,
1950-2-13,54,47,40,
1950-2-14,42,38,35,
1950-2-15,42,40,37,
1950-2-16,50,42,34,
1950-2-17,45,37,29,
1950-2-18,39,32,26,
1950-2-19,50,42,33,
1950-2-20,45,35,25,
1950-2-21,38,27,16,
1950-2-22,42,33,24,
1950-2-23,56,46,37,
1950-2-24,46,38,29,
1950-2-25,55,43,31,
1950-2-26,47,33,19,
1950-2-27,37,26,16,
1950-2-28,36,28,21,
1950-3-1,51,38,26,
1950-3-2,53,36,18,
1950-3-3,30,22,13,
1950-3-4,39,29,19,
1950-3-5,47,36,25,
1950-3-6,66,52,39,
1950-3-7,62,46,31,
1950-3-8,38,35,32,
1950-3-9,50,36,22,
1950-3-10,43,34,24,
1950-3-11,52,40,29,
1950-3-12,50,42,33,
1950-3-13,72,57,42,
1950-3-14,65,46,27,
1950-3-15,49,39,29,
1950-3-16,63,49,35,
1950-3-17,35,28,20,
1950-3-18,46,39,32,
1950-3-19,48,36,23,
1950-3-20,47,38,29,
1950-3-21,46,39,32,
1950-3-22,60,48,37,
1950-3-23,40,36,33,
1950-3-24,55,47,39,
1950-3-25,68,57,46,
1950-3-26,59,47,35,
1950-3-27,56,50,43,
1950-3-28,79,66,53,
1950-3-29,76,60,45,
1950-3-30,58,42,26,
1950-3-31,47,38,30,
1950-4-1,54,44,33,
1950-4-2,51,45,39,
1950-4-3,65,56,48,
1950-4-4,82,69,56,
1950-4-5,80,64,48,
1950-4-6,58,46,33,
1950-4-7,46,36,27,
1950-4-8,54,45,36,
1950-4-9,69,50,30,
1950-4-10,54,46,38,
1950-4-11,62,52,43,
1950-4-12,82,60,37,
1950-4-13,61,46,32,
1950-4-14,45,33,21,
1950-4-15,46,36,27,
1950-4-16,47,40,34,
1950-4-17,66,54,43,
1950-4-18,78,68,58,
1950-4-19,76,65,54,
1950-4-20,84,63,42,
1950-4-21,58,48,38,
1950-4-22,58,48,37,
1950-4-23,72,60,47,
1950-4-24,73,62,52,
1950-4-25,76,60,43,
1950-4-26,58,51,44,
1950-4-27,77,63,49,
1950-4-28,81,66,52,
1950-4-29,80,68,57,
1950-4-30,75,61,47,
1950-5-1,,,,
1950-5-1,52,49,46,
1950-5-2,72,62,52,
1950-5-3,59,56,54,
1950-5-4,61,58,55,
1950-5-5,80,69,58,
1950-5-6,90,78,67,
1950-5-7,93,79,65,
1950-5-8,80,62,43,
1950-5-9,69,57,45,
1950-5-10,76,66,55,
1950-5-11,81,72,62,
1950-5-12,85,72,58,
1950-5-13,62,54,47,
1950-5-14,77,66,56,
1950-5-15,74,64,55,
1950-5-16,66,60,55,
1950-5-17,75,66,57,
1950-5-18,82,68,55,
1950-5-19,79,67,55,
